,Content ID,Type,Datetime,ContentType,Category,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50,photo,studying,negative,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51,photo,studying,negative,10
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:58,photo,studying,negative,15
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,photo,studying,negative,0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58,photo,studying,positive,30
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:54,photo,studying,neutral,35
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49,photo,studying,positive,70
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:09,photo,studying,negative,5
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23,photo,studying,neutral,35
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:27,photo,studying,neutral,20
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:53,photo,studying,negative,15
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 01:16:21,photo,studying,positive,30
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:08,photo,studying,negative,5
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:38,photo,studying,negative,15
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 05:09:23,photo,studying,positive,75
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 06:24:11,photo,studying,neutral,35
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:57,photo,studying,neutral,20
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:23,photo,studying,positive,30
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:23,photo,studying,neutral,35
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:13,photo,studying,negative,12
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:06,photo,studying,positive,50
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59,photo,studying,positive,60
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:19,photo,studying,negative,12
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:39,photo,studying,negative,5
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:17,photo,studying,negative,5
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:42,photo,studying,positive,70
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 03:57:20,photo,studying,positive,75
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:12,photo,studying,negative,15
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:11,photo,studying,positive,30
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 03:21:13,photo,studying,neutral,20
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24 11:03:43,photo,studying,positive,75
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:20,photo,studying,negative,0
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02 03:43:43,photo,studying,positive,75
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04 03:06:12,photo,studying,positive,30
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09 02:49:59,photo,studying,negative,10
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29 16:00:27,photo,studying,negative,15
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13 07:54:01,photo,studying,positive,70
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14 05:28:44,photo,studying,positive,30
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23 10:30:37,photo,studying,neutral,20
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10 09:27:42,photo,studying,negative,12
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15 03:59:11,photo,studying,negative,5
41,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25 17:01:58,photo,healthy eating,negative,10
42,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13 00:11:50,photo,healthy eating,positive,45
43,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 18:17:06,photo,healthy eating,neutral,35
44,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11 04:53:56,photo,healthy eating,negative,15
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-03-08 10:40:53,photo,healthy eating,negative,5
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:26,photo,healthy eating,negative,0
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-05-25 01:00:28,photo,healthy eating,negative,5
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-15 12:17:43,photo,healthy eating,positive,50
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2021-05-05 16:26:43,photo,healthy eating,positive,65
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16 03:02:28,photo,healthy eating,positive,60
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,2020-07-07 10:52:30,photo,healthy eating,neutral,20
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 07:59:11,photo,healthy eating,neutral,35
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-09-23 11:15:19,photo,healthy eating,positive,65
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-24 05:56:19,photo,healthy eating,positive,50
55,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-12-07 19:13:23,photo,healthy eating,negative,5
56,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2020-08-03 16:41:04,photo,healthy eating,positive,75
57,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2021-01-10 15:36:01,photo,healthy eating,positive,72
58,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-09-20 08:48:13,photo,healthy eating,negative,15
59,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,2020-07-20 14:06:31,photo,healthy eating,positive,70
60,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-24 12:15:34,photo,healthy eating,positive,72
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-06 01:27:19,photo,healthy eating,positive,30
